dates,volume,high,market-cap,close,open,low
20170630,860273000.0,2559.25,41689100000.0,2480.84,2539.24,2478.43
20150630,44533800.0,267.87,3682790000.0,263.07,257.04,255.95
20151230,46889400.0,434.39,6508960000.0,426.62,433.3,422.08
20151231,45996600.0,432.92,6399190000.0,430.57,425.88,418.74
20170929,1367050000.0,4214.63,69219200000.0,4163.07,4171.62,4039.29
20170928,1712320000.0,4279.31,69633200000.0,4174.73,4197.13,4109.7
20170925,1374210000.0,3950.25,61061100000.0,3926.07,3681.58,3681.58
20170924,768015000.0,3796.15,62954300000.0,3682.84,3796.15,3666.9
20170927,1686880000.0,4210.05,64579200000.0,4200.67,3892.94,3884.82
20170926,1043740000.0,3969.89,65161000000.0,3892.35,3928.41,3869.9
20170921,1411480000.0,3916.42,64677600000.0,3631.04,3901.47,3613.63
20170920,1213830000.0,4031.39,64918500000.0,3905.95,3916.36,3857.73
20170923,928114000.0,3819.21,60190000000.0,3792.4,3629.92,3594.58
20170922,1194830000.0,3758.27,60152300000.0,3630.7,3628.02,3553.53
20150523,14605000.0,241.03,3409830000.0,238.87,240.29,238.69
20150522,27003000.0,240.97,3338560000.0,240.35,235.32,235.06
20160719,61203300.0,673.28,10606500000.0,672.86,672.74,667.63
20150520,15499400.0,234.68,3288140000.0,234.02,231.89,231.84
20150831,20710700.0,231.96,3335220000.0,230.06,229.11,225.91
20150526,16425000.0,238.24,3367040000.0,237.12,237.1,235.69
20150525,14423900.0,241.02,3420480000.0,237.11,240.93,236.64
20150524,11508000.0,241.98,3391910000.0,240.95,238.98,238.81
20160713,131449000.0,668.7,10474500000.0,654.47,664.8,654.47
20160712,138173000.0,675.26,10213100000.0,664.55,648.28,646.78
20150529,14805000.0,237.52,3373380000.0,237.1,237.38,235.73
20150528,13829600.0,237.82,3370890000.0,237.41,237.26,236.65
20160717,74407900.0,682.37,10434700000.0,679.46,661.99,661.99
20160716,50330200.0,666.46,10461700000.0,660.77,663.78,659.33
20160715,81673100.0,667.08,10387900000.0,663.25,659.17,659.04
20160714,98511400.0,662.9,10288400000.0,658.08,652.92,652.92
20170811,2021190000.0,3679.72,55668000000.0,3650.62,3373.82,3372.12
20170810,1515110000.0,3453.45,55134700000.0,3381.28,3341.84,3319.47
20170813,3159090000.0,4208.39,64034100000.0,4073.26,3880.04,3857.8
20170812,2219590000.0,3949.92,60242100000.0,3884.71,3650.63,3613.7
20170815,3258050000.0,4455.97,71425500000.0,4181.93,4326.99,3906.18
20170814,2463090000.0,4325.13,67112300000.0,4325.13,4066.1,3989.16
20170817,2553360000.0,4484.7,72389100000.0,4331.69,4384.44,4243.71
20170816,2272040000.0,4381.23,69342700000.0,4376.63,4200.34,3994.42
20170819,2975820000.0,4243.26,68333100000.0,4193.7,4137.75,3970.55
20170818,2941710000.0,4370.13,71406500000.0,4160.62,4324.34,4015.4
20170730,705943000.0,2758.53,44890700000.0,2757.18,2724.39,2644.85
20170731,860575000.0,2889.62,45535800000.0,2875.34,2763.24,2720.61
20170109,141877000.0,913.69,14694900000.0,902.83,913.24,879.81
20170108,158715000.0,942.72,14611400000.0,911.2,908.17,887.25
20170107,279550000.0,908.59,14534400000.0,908.59,903.49,823.56
20170106,351876000.0,1046.81,16314100000.0,902.2,1014.24,883.94
20170105,510199000.0,1191.1,18604000000.0,1013.38,1156.73,910.42
20170104,344946000.0,1159.42,16795400000.0,1154.73,1044.4,1044.4
20170103,185168000.0,1044.08,16426600000.0,1043.84,1021.6,1021.6
20170102,222185000.0,1031.39,16055100000.0,1021.75,998.62,996.7
20170101,147775000.0,1003.08,15491200000.0,998.33,963.66,958.7
20131104,0,231.01,2564070000.0,229.1,214.66,213.94
20131105,0,250.66,2738980000.0,245.24,229.21,226.22
20131106,0,263.0,2926100000.0,262.5,244.78,244.78
20131107,0,304.17,3129190000.0,296.41,261.68,261.55
20131101,0,206.65,2432470000.0,206.18,203.9,202.13
20131102,0,207.76,2456330000.0,206.22,205.81,201.65
20140215,26709200.0,661.84,8193290000.0,650.92,660.9,632.84
20131108,0,338.66,3562790000.0,338.11,297.85,296.93
20140216,40061700.0,665.1,8077340000.0,616.63,651.3,584.17
20140217,31948400.0,656.95,7620580000.0,626.27,614.23,607.31
20140210,112758000.0,703.71,8431680000.0,681.03,681.32,550.5
20140211,72745200.0,712.46,8461320000.0,672.17,683.5,636.66
20140212,25367600.0,672.9,8326420000.0,651.72,672.38,643.04
20140213,38588100.0,657.99,8065550000.0,605.24,651.08,601.91
20140917,21056800.0,468.17,6185010000.0,457.33,465.86,452.42
20140916,16797300.0,475.64,6302440000.0,466.06,474.86,465.13
20140915,15345200.0,478.62,6339090000.0,475.37,477.76,474.02
20140914,13105500.0,479.85,6355140000.0,477.89,479.12,476.12
